zì jǐ dǎ de	自己打的
xiǎo qú yǎng xiǎo yú bù yǎng dà yú	小渠養小魚不養大魚
yí piàn wū yún zhē diào qī kē xīng	一片烏雲遮掉七顆星
yí zhèn fēng lái chuī lái qī zhǎn dēng	一陣風來吹來七盞燈
zuǐ lǐ shì shé tou bú shì sāi tóu	嘴裏是舌頭不是塞頭
bái guǒ guǒ wǒ zǒu bái jiā mén qián guò	白果果我走白家門前過
bái guǒ shù shàng xiē le zhǐ bái bā gē	白果樹上歇了只白八哥
bái guǒ shù wǒ cóng bó bo mén qián guò	白果樹我從伯伯門前過
bù bǎ jú pí diū zài lā jī xiāng lǐ	不把桔皮丟在垃圾箱裏
chí xiǎo chí ná le yì bǎ cí tāng chí	遲小池拿了一把瓷湯匙
dào diào niǎo liáng shàng liǎng duì dào diào niǎo	倒吊鳥梁上兩對倒吊鳥
dì di jiào lì lì chū lái zuò yóu xì	弟弟叫麗麗出來做遊戲
dì shàng de māo xiǎng yǎo shù shàng de niǎo	地上的貓想咬樹上的鳥
diàn zhe ní lǐ de liǎng duì niǎo dào diào	惦着泥裡的兩對鳥倒吊
é guò hé gē ge dì di pō qián zuò	鵝過河哥哥弟弟坡前坐
fēi é zhuó bú zhù àn biān qù zhǎo wō	飛蛾啄不住岸邊去找窩
hé yào dù é bù zhī shì é guò hé	河要渡鵝不知是鵝過河
hóng hóng sòng gěi huá huá yì duǒ huáng huā	紅紅送給華華一朵黃花
hóu guò qiáo qiáo dōng zǒu lái yì tiáo gǒu	猴過橋橋東走來一條狗
hú shū zi mǎi bǎ fǔ zi zuò shū zi	胡梳子買把斧子做梳子
hú zi qí lǘ zǐ hú zi qí lǘ zǐ	鬍子騎驢子鬍子騎驢子
hú zi qù dǎ tiāo luó sī de tuó zi	鬍子去打挑螺螄的駝子
hú zi zhuàng fān le tuó zi de luó sī	鬍子撞翻了駝子的螺螄
huá huá sòng gěi hóng hóng yì duǒ hóng huā	華華送給紅紅一朵紅花
kě lián liáng shàng de liǎng duì dào diào niǎo	可憐梁上的兩對倒吊鳥
kě lián ní lǐ de liǎng duì niǎo dào diào	可憐泥裡的兩對鳥倒吊
lán jiào liàn zài nǚ lán xùn liàn lǚ nán	藍教練在女籃訓練呂楠
lì lì hé dì di ná bú dìng zhǔ yì	麗麗和弟弟拿不定主意
lǚ jiào liàn zài nán lán xùn liàn lán nán	呂教練在男籃訓練藍南
máng dì gěi nián shí sì de shí xiǎo sì	忙遞給年十四的石小四
máng dì gěi nián sì shí de shǐ xiào shí	忙遞給年四十的史肖石
měi pái shì shí sì zhǐ dà shí shī zi	每排是十四隻大石獅子
mó mó bá le yī pǒ luó dà luó bo	嬤嬤拔了一笸籮大蘿蔔
pó pó cǎi le bàn bò ji xiǎo mó gū	婆婆採了半簸箕小蘑菇
qīng lóng dòng qīng lóng dòng zhōng lóng zuò mèng	青龍洞青龍洞中龍做夢
shàng guǒ shì sì gè hái zi shàng guǒ shì	上果市四個孩子上果市
shì dēng hái shì xīng tiān shàng mǎn tiān xīng	是燈還是星天上滿天星
shū hú zi sū zhōu yǒu gè sū hú zi	梳鬍子蘇州有個蘇鬍子
shù shàng de diāo zhuó māo shēn shàng de máo	樹上的雕啄貓身上的毛
sū hú zi mǎi bǎ shū zi shū hú zi	蘇鬍子買把梳子梳鬍子
tí lā tǎ ma de lǎ ma dūn tǎ ma	提拉塔嘛的喇嘛敦塔嘛
tiān shàng qī kē xīng tiān shàng qī kē xīng	天上七顆星天上七顆星
tuó zi lái dǎ qí lǘ zǐ de hú zi	駝子來打騎驢子的鬍子
xiǎo niú yìng yào bǎ yóu huán gěi lǎo liú	小牛硬要把油還給老劉
xué niē lí pán lǐ fàng zhe yí gè lí	學捏梨盤裡放着一個梨
bái fà lǎo gōng gōng diào le yì dǐng bái mào	白髮老公公掉了一頂白帽
bái māo diāo zhe bái mào pǎo jìn yī bái miào	白貓叼着白帽跑進一白廟
bǎn dèng bú ràng biǎn dàn bǎng zài bǎn dèng shàng	板凳不讓扁擔綁在板凳上
dà qú lǐ yǒu le xiǎo yú bú jiàn dà yú	大渠裏有了小魚不見大魚
dì shàng de māo xiǎng diāo zǒu shù shàng de diāo	地上的貓想叼走樹上的雕
hēi zhū shuō wū yā bǐ hēi zhū hái yào hēi	黑豬說烏鴉比黑豬還要黑
nǐ jiù bú yào hú luàn dì sī yí dì zhǐ	你就不要胡亂地撕一地紙
nián shí sì de shí xiǎo sì ài kàn shī cí	年十四的石小四愛看詩詞
nián sì shí de shǐ xiào shí ài kàn bào zhǐ	年四十的史肖石愛看報紙
tū yā tou cóng nán lái le gè tū yā tou	禿丫頭從南來了個禿丫頭
wǒ jiù jiǎn le bǎi shí bǎi kuài bái shí tóu	我就揀了百十百塊白石頭
xiǎo niú péi yóu xiǎo niú fàng xué qù dǎ qiú	小牛賠油小牛放學去打球
xiǎo qú lǐ yǒu le dà yú bú jiàn xiǎo yú	小渠裏有了大魚不見小魚
yǎng yú dà qú yǎng dà yú bù yǎng xiǎo yú	養魚大渠養大魚不養小魚
yě diàn zhe liáng shàng de liǎng duì dào diào niǎo	也惦着梁上的兩對倒吊鳥
zài chī diào lán zi lǐ jǐ gè ruǎn jī luǎn	再吃掉籃子裡幾個軟雞卵
zhǒng dōng guā dōng mén tóng jiā mén dōng dǒng jiā	種冬瓜東門童家門東董家
bǎn dèng bú ràng biǎn dàn bǎng zài nà bǎn dèng shàng	板凳不讓扁擔綁在那板凳上
hái shì cuī tuǐ cū bǐ cuī cū tuǐ de tuǐ cū	還是崔腿粗比崔粗腿的腿粗
hái shì yán yǎn yuán bǐ yán yuán yǎn de yǎn yuán	還是嚴眼圓比嚴圓眼的眼圓
hé huā hé há má yì duǒ fěn hóng dà hé huā	荷花和蛤蟆一朵粉紅大荷花
liù shū hé liù jiù hǎo liù shū hé hǎo liù jiù	六叔和六舅好六叔和好六舅
nián shí sì de shí xiǎo sì jiàn le hǎo bào zhǐ	年十四的石小四見了好報紙
niū niū hé niú niú niú niú yào chī hé biān liǔ	妞妞和牛牛牛牛要吃河邊柳
sān niáng fān guò shān liáng qù zhǎo sān zhǐ shān yáng	三娘翻過山梁去找三隻山羊
sān shí sān de dì zǐ zài sì lǐ liàn xiě zì	三十三的弟子在寺裏練寫字
shí shī sì qián yǒu sì shí sì gè shí shī zi	石獅寺前有四十四個石獅子
shuō hǎo sì hé shí de kào shé tou hé yá chǐ	說好四和十得靠舌頭和牙齒
sì shí sì de shī fù dào shì lǐ qù bàn shì	四十四的師傅到市裡去辦事
bái guǒ shù shàng zhàn zhe bǎi shí bǎi gè bái bān jiū	白果樹上站着百十百個白斑鳩
bù zhī shì cuī cū tuǐ bǐ cuī tuǐ cū de tuǐ cū	不知是崔粗腿比崔腿粗的腿粗
héng shù liǎng cì sī le sì shí sì zhāng shī zì zhǐ	橫豎兩次撕了四十四張溼字紙
kàn jiàn bó diē bó mā mén qián zhǒng zhe bái guǒ shù	看見伯爹伯媽門前種着白果樹
lì lì hé dì di lì lì jiā lái le xiǎo dì dì	麗麗和弟弟麗麗家來了小弟弟
nà gè biǎn dàn piān yào bǎng zài nà gè bǎn dèng shàng	那個扁擔偏要綁在那個板凳上
nián sì shí de shǐ xiào shí fā xiàn le hǎo shī cí	年四十的史肖石發現了好詩詞
sān shí sān de dì zǐ yòng le sì shí sì xiǎo shí	三十三的弟子用了四十四小時
sì qián shù shàng jié le sì shí sì gè sè shì zi	寺前樹上結了四十四個澀柿子
sì shí sì de shī fù zǒu le sān shí sān lǐ dì	四十四的師傅走了三十三里地
yào ná tǎ ma huàn bié lǎ bā yǎ bā de lǎ bā	要拿塔嘛換別喇叭啞巴的喇叭
zài hái liù shū liù jiù liù dòu liù shēng lǜ lǜ dòu	再還六叔六舅六斗六升綠綠豆
biǎn dàn piān yào bǎn dèng ràng biǎn dàn bǎng zài bǎn dèng shàng	扁擔偏要板凳讓扁擔綁在板凳上
gāo gāo shān shàng yì tiáo téng gāo gāo shān shàng yì tiáo téng	高高山上一條藤高高山上一條藤
xiǎo gé bǎ tā de huáng huā huàn le xiǎo guō de hóng huā	小葛把他的黃花換了小郭的紅花
xiǎo guō xiǎng ná tā de hóng huā huàn xiǎo gé de huáng huā	小郭想拿他的紅花換小葛的黃花
ná lǎ bā dǎ le tí lā tǎ ma de lǎ ma yī lǎ bā	拿喇叭打了提拉塔嘛的喇嘛一喇叭
sān niáng zhǎo shān yáng sān niáng zài shān shàng fàng sān zhǐ shān yáng	三娘找山羊三娘在山上放三隻山羊
shǐ lǎo shī lǐng sì shí sì gè xué shēng qù shù shí shī zi	史老師領四十四個學生去數石獅子
yòng le sì shí sì xiǎo shí cái xiě le sān shí sān gè zì	用了四十四小時才寫了三十三個字
zǒu le sān shí sān lǐ dì jiù bàn le sì shí sì jiàn shì	走了三十三里地就辦了四十四件事
bú yuàn yì ná lǎ bā huàn tí lā tǎ ma lǎ ma de tǎ ma	不願意拿喇叭換提拉塔嘛喇嘛的塔嘛
sì shí sì gè sè shì zi dào chī sì shí sì gè shí shī zi	四十四個澀柿子倒喫四十四個石獅子
sì shí sì gè shí shī zi bù chī sì shí sì gè sè shì zi	四十四個石獅子不吃四十四個澀柿子
wū yā shuō zhū hēi wū yā zhàn zài hēi zhū jí shàng shuō hēi zhū hēi	烏鴉說豬黑烏鴉站在黑豬脊上說黑豬黑
nǐ shuō gòng shǔ chū duō shǎo zhǐ dà shí shī zi hé duō shǎo zhǐ xiǎo shí shī zi	你說共數出多少隻大石獅子和多少隻小石獅子
tí lā tǎ ma de lǎ ma ná tǎ ma dǎ le bié lǎ bā de yǎ bā yī tǎ ma	提拉塔嘛的喇嘛拿塔嘛打了別喇叭的啞巴一塔嘛
yě bù zhī bié lǎ bā de yǎ bā ná lǎ bā dǎ huài le tí lā tǎ ma lǎ ma de tǎ ma	也不知別喇叭的啞巴拿喇巴打壞了提拉塔嘛喇嘛的塔嘛
yě bù zhī tí lā tǎ ma de lǎ ma ná tǎ ma dǎ huài le bié lǎ bā yǎ bā de lǎ bā	也不知提拉塔嘛的喇嘛拿塔嘛打壞了別喇叭啞巴的喇叭
dǎ fēi dī	打飛的
